cod;nome;periodo;homens;mulheres
12;AC;2010;146;19
27;AL;2010;1950;137
13;AM;2010;1017;65
16;AP;2010;244;16
29;BA;2010;5398;438
23;CE;2010;2515;173
53;DF;2010;720;66
32;ES;2010;1618;174
52;GO;2010;1795;182
21;MA;2010;1402;117
31;MG;2010;3236;409
50;MS;2010;579;76
51;MT;2010;890;80
15;PA;2010;3286;231
25;PB;2010;1336;119
26;PE;2010;3226;247
22;PI;2010;371;40
41;PR;2010;3248;338
33;RJ;2010;5310;339
24;RN;2010;739;71
11;RO;2010;508;37
14;RR;2010;110;11
43;RS;2010;1856;227
42;SC;2010;712;110
28;SE;2010;633;43
35;SP;2010;5355;678
17;TO;2010;293;34
